,post,target,handle
316,so excited that my new clean and vegan @<user> products will launch in @<user> in all stores and online on August 1,2,KylieJenner
317,3 more days till my limited edition 24K BIRTHDAY COLLECTION LAUNCHES on 810 @<user> <url>,2,KylieJenner
318,last few hours to get your free @<user> goodies when you shop Lip Kits at <url>,2,KylieJenner
319,obsessed with this bday collection look using my new body glow eyeshadow palette all over gloss and lip lacquer launching AUGUST 10th @<user> <url>,2,KylieJenner
320,my new clean and vegan @<user> products are officially available at @<user> stores across the country and online today <url>,2,KylieJenner
321,I added new items to my online closet Shop at <url> # KardashianKloset,2,KylieJenner
322,glowing my 24K BIRTHDAY COLLECTION drops on my bday August 10th im wearing my brand new body glow here that i cant wait for you guys to experience @<user> <url> <url>,2,KylieJenner
323,Get up to 50 off my minis accessories and SPF Hurry sale ends tomorrow <url> <url>,2,KylieJenner
324,episode 2 of INSIDE KYLIE COSMETICS is officially live go check it out on my youtube channel just 3 more days till @<user> relaunches <url>,2,KylieJenner
325,were live @<user> <url> <url>,2,KylieJenner
326,Its KYLIE SWIM DAY my first drop ever for @<user> launches TODAY at 3pm pst on <url> im soooo excited to share this with you guys <url>,2,KylieJenner
327,20 mins until @<user> launches <url>,2,KylieJenner
328,soon @<user> <url>,2,KylieJenner
329,just launched my new Kylie vanity trunk on <url> @<user> <url>,2,KylieJenner
330,last day to get up to 50 off my @<user> minis SPF and accessories <url> <url>,2,KylieJenner
331,thats love thank u <url>,2,KylieJenner
332,love you <url>,2,KylieJenner
333,last day to shop my sitewide 25 off sale Use code AFTERPAYDAY at <url> and <url> <url>,2,KylieJenner
334,im so excited to finally share this new project with you @<user> launches this FRIDAY the 17th on <url> this first drop is so special to me i cant wait for you guys to see everything we have coming <url>,2,KylieJenner
335,so happy you guys liked episode one of Inside Kylie Cosmetics and i cant wait for this relaunch on the 15th @<user>,2,KylieJenner
336,ALL NEW @<user> LAUNCHES IN 2 DAYS some of my favorite glosses this new formula has a mirror shine finish lip loving oils and non sticky formula 71521 <url>,2,KylieJenner
337,my Labor Day weekend sale starts in 25 mins Buy one get one FREE on my my matte liquid lipsticks at <url> 9am pst,2,KylieJenner
338,my @<user> mini fridge is back <url> <url>,2,KylieJenner
339,my Caicos and Kylie one pieces are sold out You can still shop my other one pieces triangle styles and sarongs at <url>,2,KylieJenner
340,obsessed with my new lip shine lacquer formula <url> <url>,2,KylieJenner
341,theres a lot of people trying to get on the site so stay tuned guys while we get it back up,2,KylieJenner
342,thank you my love @<user> for the most perfect bday dress,2,KylieJenner
343,morning,2,KylieJenner
344,that summer feeling,2,KylieJenner
345,rum punch the beach,2,KylieJenner
346,me again,2,KylieJenner
347,too good 2 be true,2,KylieJenner
348,6am,2,KylieJenner
349,Im so excited that @<user> is now available at Nordstromcom and coming to all @<user> stores on September 16 # KylieXNordstrom,2,KylieJenner
350,tb,2,KylieJenner
351,my loves,2,KylieJenner
352,leo season >,2,KylieJenner
353,4 days to go until my @<user> Sailor Summer Collection launch featuring my NEW longlasting Shadow Stick formula and Lashes August 31st at 3pm pst on KylieCosmeticscom <break><break>Matte Lip Kit Kiss Me Sailor 29<break>High Gloss Private Island 16<break>Lashes Shady 18<break>Shadow Stick Duo 18<break>Sailor Palette 44<break>Sailor Collection Bundle 115,2,KylieJenner
354,Im obsessed my sailor palette launches on the 31st at 3pm pst KylieCosmeticscom,2,KylieJenner
355,going through old pics found this little gem,2,KylieJenner
356,thank you for all the love on the summer collection kyliecosmeticscom,2,KylieJenner
357,weekend vibes,2,KylieJenner
358,KYLIE BABY vegan and clean baby care 928 <url> @<user> <url>,2,KylieJenner
359,no crying in softball,2,KylieJenner
360,favorite girl <url>,2,KylieJenner
361,leo season loading <url>,2,KylieJenner
362,KYLIE COSMETICS OFFICIALLY RELAUNCHES TOMORROW AT 9AM PST i have a very special live experience happening on the site tomorrow so stay tuuuuned <url> @<user> <url>,2,KylieJenner
363,LABOR DAY WEEKEND SALE HAPPENING RIGHT NOW buy a matte lip and get one free <url> <url>,2,KylieJenner
364,get 25 off sitewide with code AFTERPAYDAY on <url> and <url> @<user> @<user> <url>,2,KylieJenner
365,1 hour to go <url> @<user> 9am PST,2,KylieJenner
366,last day to shop my @<user> Labor Day sale Buy one get one FREE on matte liquid lipsticks <url>,2,KylieJenner
367,matte lip favs its buy one get one FREE on all of my matte liquid lipsticks this Labor Day weekend at <url> @<user> <url>,2,KylieJenner
368,the last episode of INSIDE KYLIE COSMETICS just went live on my youtube channel and @<user> officially launches in an hour enjoy <url>,2,KylieJenner
369,in real life,2,KylieJenner
370,this smile,2,KylieJenner
371,episode 1 of INSIDE KYLIE COSMETICS just went live on my youtube channel! i wanted to do something special for you guys in honor of the @kyliecosmetics relaunch on the 15th 🤍 enjoyyy https://t.co/Cg8wny7UBI,2,KylieJenner
