,post,target,handle,fold
286,my makeup melting cleanser has officially joined the family available right now,2,KylieJenner,2.0
287,my vibe right now is just living life,2,KylieJenner,2.0
288,beach you to it,2,KylieJenner,2.0
289,what a night,2,KylieJenner,2.0
290,vogue babyyy thank you @<user> for this cover @<user>,2,KylieJenner,2.0
291,@<user> @<user> @<user>,2,KylieJenner,2.0
292,IN YOUR DREAMS wearing ELM STREET lip lacquer from my Nightmare on Elm Street collection launching 1012 @<user> <url>,2,KylieJenner,2.0
293,The new Kylie Skin Clarifying Collection launches August 6th on KylieSkincom make sure you follow @<user> for all the info on these amazing products,2,KylieJenner,2.0
294,theres levels to this uno shit,2,KylieJenner,2.0
295,office days,2,KylieJenner,2.0
296,fly girls have more fun,2,KylieJenner,3.0
297,tinkerbell,2,KylieJenner,3.0
298,im ready for fall <url>,2,KylieJenner,3.0
299,daddy got us matching rings <url>,2,KylieJenner,3.0
300,how cute is this video we shot for KYLIE BABY almost a year ago 4 more days till my new clean baby care line launches on <url> 928 @<user> <url>,2,KylieJenner,3.0
301,Kylie Baby launches tomorrow <url> <url>,2,KylieJenner,3.0
302,30 minutes to go @<user> <url> <url>,2,KylieJenner,3.0
303,Kylie Baby is LIVE on <url> <url>,2,KylieJenner,3.0
304,my NEW @<user> watermelon lip oil just dropped <url> <url>,2,KylieJenner,3.0
305,can you guess who we collaborated with this year for halloween collection reveal coming today @<user> <url>,2,KylieJenner,3.0
306,KYLIE X NIGHTMARE ON ELM STREET ahhh what a DREAM to collaborate with the icon of horror reveal happening right now on my IG stories launching 1012 @<user> <url>,2,KylieJenner,3.0
307,Two more days till the clarifying collection launches on KylieSkincom @<user> 86 9am pst,2,KylieJenner,3.0
308,this type of energy,2,KylieJenner,3.0
309,one of my favorite palettes Ive ever launched <url> <url>,2,KylieJenner,3.0
310,brown eyed girl,2,KylieJenner,3.0
311,THE 24K COLLECTION IS OFFICIALLY LIVE head over to <url> before its gone @<user> <url>,2,KylieJenner,3.0
312,giving away FREE @<user> goodies with every Lip Kit purchase on <url> for # NationalLipstickDay <url>,2,KylieJenner,3.0
313,10 minutes until my 24k Birthday Collection launches on <url>,2,KylieJenner,3.0
314,win signed lip kits plus every lip kit shade now on Kylie Cosmetics Instagram,2,KylieJenner,3.0
315,THE 24K BIRTHDAY COLLECTION LAUNCHES TOMORROW i couldnt be more excited to share these new products with you guys and i just know you will fall in LOVE with all these formulas love ya guys and see you at 9am pst @<user> <url> xx <url>,2,KylieJenner,3.0
316,so excited that my new clean and vegan @<user> products will launch in @<user> in all stores and online on August 1,2,KylieJenner,3.0
317,3 more days till my limited edition 24K BIRTHDAY COLLECTION LAUNCHES on 810 @<user> <url>,2,KylieJenner,3.0
318,last few hours to get your free @<user> goodies when you shop Lip Kits at <url>,2,KylieJenner,3.0
319,obsessed with this bday collection look using my new body glow eyeshadow palette all over gloss and lip lacquer launching AUGUST 10th @<user> <url>,2,KylieJenner,3.0
320,my new clean and vegan @<user> products are officially available at @<user> stores across the country and online today <url>,2,KylieJenner,4.0
321,I added new items to my online closet Shop at <url> # KardashianKloset,2,KylieJenner,4.0
322,glowing my 24K BIRTHDAY COLLECTION drops on my bday August 10th im wearing my brand new body glow here that i cant wait for you guys to experience @<user> <url> <url>,2,KylieJenner,4.0
323,Get up to 50 off my minis accessories and SPF Hurry sale ends tomorrow <url> <url>,2,KylieJenner,4.0
324,episode 2 of INSIDE KYLIE COSMETICS is officially live go check it out on my youtube channel just 3 more days till @<user> relaunches <url>,2,KylieJenner,4.0
325,were live @<user> <url> <url>,2,KylieJenner,4.0
326,Its KYLIE SWIM DAY my first drop ever for @<user> launches TODAY at 3pm pst on <url> im soooo excited to share this with you guys <url>,2,KylieJenner,4.0
327,20 mins until @<user> launches <url>,2,KylieJenner,4.0
328,soon @<user> <url>,2,KylieJenner,4.0
329,just launched my new Kylie vanity trunk on <url> @<user> <url>,2,KylieJenner,4.0
330,last day to get up to 50 off my @<user> minis SPF and accessories <url> <url>,2,KylieJenner,4.0
331,thats love thank u <url>,2,KylieJenner,4.0
332,love you <url>,2,KylieJenner,4.0
333,last day to shop my sitewide 25 off sale Use code AFTERPAYDAY at <url> and <url> <url>,2,KylieJenner,4.0
334,im so excited to finally share this new project with you @<user> launches this FRIDAY the 17th on <url> this first drop is so special to me i cant wait for you guys to see everything we have coming <url>,2,KylieJenner,4.0
335,so happy you guys liked episode one of Inside Kylie Cosmetics and i cant wait for this relaunch on the 15th @<user>,2,KylieJenner,4.0
336,ALL NEW @<user> LAUNCHES IN 2 DAYS some of my favorite glosses this new formula has a mirror shine finish lip loving oils and non sticky formula 71521 <url>,2,KylieJenner,4.0
337,my Labor Day weekend sale starts in 25 mins Buy one get one FREE on my my matte liquid lipsticks at <url> 9am pst,2,KylieJenner,4.0
338,my @<user> mini fridge is back <url> <url>,2,KylieJenner,4.0
339,my Caicos and Kylie one pieces are sold out You can still shop my other one pieces triangle styles and sarongs at <url>,2,KylieJenner,4.0
340,obsessed with my new lip shine lacquer formula <url> <url>,2,KylieJenner,4.0
341,theres a lot of people trying to get on the site so stay tuned guys while we get it back up,2,KylieJenner,4.0
342,thank you my love @<user> for the most perfect bday dress,2,KylieJenner,4.0
343,morning,2,KylieJenner,4.0
344,that summer feeling,2,KylieJenner,5.0
345,rum punch the beach,2,KylieJenner,5.0
346,me again,2,KylieJenner,5.0
347,too good 2 be true,2,KylieJenner,5.0
348,6am,2,KylieJenner,5.0
349,Im so excited that @<user> is now available at Nordstromcom and coming to all @<user> stores on September 16 # KylieXNordstrom,2,KylieJenner,5.0
350,tb,2,KylieJenner,5.0
351,my loves,2,KylieJenner,5.0
352,leo season >,2,KylieJenner,5.0
353,4 days to go until my @<user> Sailor Summer Collection launch featuring my NEW longlasting Shadow Stick formula and Lashes August 31st at 3pm pst on KylieCosmeticscom <break><break>Matte Lip Kit Kiss Me Sailor 29<break>High Gloss Private Island 16<break>Lashes Shady 18<break>Shadow Stick Duo 18<break>Sailor Palette 44<break>Sailor Collection Bundle 115,2,KylieJenner,5.0
354,Im obsessed my sailor palette launches on the 31st at 3pm pst KylieCosmeticscom,2,KylieJenner,5.0
355,going through old pics found this little gem,2,KylieJenner,5.0
356,thank you for all the love on the summer collection kyliecosmeticscom,2,KylieJenner,5.0
357,weekend vibes,2,KylieJenner,5.0
358,KYLIE BABY vegan and clean baby care 928 <url> @<user> <url>,2,KylieJenner,5.0
359,no crying in softball,2,KylieJenner,5.0
360,favorite girl <url>,2,KylieJenner,5.0
361,leo season loading <url>,2,KylieJenner,5.0
362,KYLIE COSMETICS OFFICIALLY RELAUNCHES TOMORROW AT 9AM PST i have a very special live experience happening on the site tomorrow so stay tuuuuned <url> @<user> <url>,2,KylieJenner,5.0
363,LABOR DAY WEEKEND SALE HAPPENING RIGHT NOW buy a matte lip and get one free <url> <url>,2,KylieJenner,5.0
364,get 25 off sitewide with code AFTERPAYDAY on <url> and <url> @<user> @<user> <url>,2,KylieJenner,5.0
365,1 hour to go <url> @<user> 9am PST,2,KylieJenner,5.0
366,last day to shop my @<user> Labor Day sale Buy one get one FREE on matte liquid lipsticks <url>,2,KylieJenner,5.0
367,matte lip favs its buy one get one FREE on all of my matte liquid lipsticks this Labor Day weekend at <url> @<user> <url>,2,KylieJenner,5.0
368,the last episode of INSIDE KYLIE COSMETICS just went live on my youtube channel and @<user> officially launches in an hour enjoy <url>,2,KylieJenner,5.0
369,in real life,2,KylieJenner,5.0
370,this smile,2,KylieJenner,5.0
371,episode 1 of INSIDE KYLIE COSMETICS just went live on my youtube channel! i wanted to do something special for you guys in honor of the @kyliecosmetics relaunch on the 15th 🤍 enjoyyy https://t.co/Cg8wny7UBI,2,KylieJenner,5.0
